,metadata,sent,mvi,inf,xobj
180,Demosthenes (0014) - Against Pantaenetus (037),"καὶ τοῦθʼ οὕτω τὸ δίκαιον ἐν πᾶσιν ἰσχύει , ὥστʼ ἐὰν ἑλών τις ἀκουσίου φόνου καὶ σαφῶς ἐπιδείξας μὴ καθαρόν , μετὰ ταῦτʼ αἰδέσηται καὶ ἀφῇ , οὐκέτʼ ἐκβαλεῖν κύριος τὸν αὐτόν ἐστιν . οὐδέ γʼ , ἂν ὁ παθὼν αὐτὸς ἀφῇ τοῦ φόνου , πρὶν τελευτῆσαι , τὸν δράσαντα , οὐδενὶ τῶν λοιπῶν συγγενῶν ἔξεστʼ ἐπεξιέναι , ἀλλʼ οὓς ἐκπίπτειν καὶ φεύγειν , ἂν ἁλίσκωνται , καὶ τεθνάναι προστάττουσιν οἱ νόμοι , τούτους , ἐὰν ἀφεθῶσιν ἅπαξ , ἁπάντων ἐκλύει τῶν δεινῶν τοῦτο τὸ ῥῆμα .",ἀφῇ;ἀφῇ;ἔξεστʼ;προστάττουσιν,τελευτῆσαι;ἐπεξιέναι;ἐκπίπτειν;τεθνάναι,οὐδενὶ
181,Xenophon (0032) - Memorabilia (002),"μὰ Δίʼ οὐκ ἐπᾴδων , ἀλλὰ περιάψας τι ἀγαθὸν αὐτῇ . δοκεῖς μοι λέγειν , ὦ Σώκρατες , ὡς , εἰ μέλλοιμεν ἀγαθόν τινα κτήσασθαι φίλον , αὐτοὺς ἡμᾶς ἀγαθοὺς δεῖ γενέσθαι λέγειν τε καὶ πράττειν . σὺ δʼ ᾤου , ἔφη ὁ Σωκράτης , οἷόν τʼ εἶναι καὶ πονηρὸν ὄντα χρηστοὺς φίλους κτήσασθαι ;",δοκεῖς,λέγειν,μοι
182,Demosthenes (0014) - Against Pantaenetus (037),"λέγε τοὐχόμενον . καὶ κατεργασάμενος τὴν ἀργυρῖτιν , ἣν οἱ ἐμοὶ οἰκέται ἠργάσαντο , καὶ ἔχων τὸ ἀργύριον τὸ ἐκ ταύτης τῆς ἀργυρίτιδος . πάλιν ταῦτα πῶς ἔνεστʼ ἐμοὶ πεπρᾶχθαι τῷ μὴ παρόντι , καὶ περὶ ὧν Εὐέργου κατεδικάσω ; λέγε δʼ αὐτοῖς τὸ ἐφεξῆς . καὶ ἀποδόμενος τὸ ἐργαστήριον τὸ ἐμὸν καὶ τοὺς οἰκέτας παρὰ τὰς συνθήκας , ἃς ἔθετο πρός με . ἐπίσχες . τουτὶ πολὺ πάνθʼ ὑπερβέβληκεν τἄλλα .",ἔνεστʼ,πεπρᾶχθαι,ἐμοὶ;παρόντι
183,Lysias (0540) - Against Andocides (006),εἰ δὲ μή δόξετε *̔́ελλησι κομπάζειν μᾶλλον ἢ τιμωρεῖσθαι βούλεσθαι . ἐπεδείξατο δὲ καὶ τοῖς *̔́ελλησιν ὅτι θεοὺς οὐ νομίζει .,δόξετε,κομπάζειν,*̔́ελλησι
184,Xenophon (0032) - Cyropaedia (007),"ὁ δὲ Κῦρος καταστρατοπεδεύσας τοὺς ἑαυτοῦ , ὅπου ἐδόκει ἐπιτηδειότατον εἶναι τῆς πόλεως , μένειν ἐπὶ τοῖς ὅπλοις παρήγγειλε καὶ ἀριστοποιεῖσθαι .",ἐδόκει;παρήγγειλε,μένειν,ὅπλοις
185,Isocrates (0010) - Concerning the Team of Horses (004),"εἶτα σὺ κηδεστὴς μὲν ὢν ἐκείνου , βεβουλευκὼς δʼ ἐπὶ τῶν τριάκοντα τολμᾷς ἑτέροις μνησικακεῖν , καὶ οὐκ αἰσχύνει τὰς συνθήκας παραβαίνων διʼ ἃς αὐτὸς οἰκεῖς τὴν πόλιν , οὐδʼ ἐνθυμεῖ διότι , ὁπόταν δόξῃ τῶν παρεληλυθότων τιμωρίαν ποιεῖσθαι , σοὶ καὶ προτέρῳ καὶ μᾶλλον ἢ ̔ μοὶ κινδυνεύειν ὑπάρχει ;",ὑπάρχει,ποιεῖσθαι;κινδυνεύειν,δόξῃ
186,Isaeus (0017) - On the Estate of Hagnias (011),"καὶ περὶ μὲν τῶν ὁμολογουμένων εἶναι τοῦ παιδὸς χρημάτων μηδʼ αἰτιᾶσθαί με , μηδʼ ὥς τι εἴληφα ἔχειν εἰπεῖν ̔ ἐφʼ οἷς , εἴ τι αὐτῶν κακῶς διῴκουν ὥσπερ οὗτος , κρίνεσθαι μοι προσῆκεν ̓ ἃ δʼ ὑμεῖς ἐμὰ εἶναι ἐψηφίσασθε , τῷ βουλομένῳ δόντες ἐξουσίαν ἀμφισβητεῖν αὐτῶν , ἐπὶ τούτοις ἐμοὶ τοιούτους ἀγῶνας παρασκευάζειν καὶ εἰς τοῦτο ἀναισχυντίας ἥκειν ;",προσῆκεν;δόντες,κρίνεσθαι;ἀμφισβητεῖν;παρασκευάζειν,τούτοις;ἐμοὶ
187,Herodotus (0016) - Histories (001),"εἰ δέ τοι οὕτω δεδόκηται γίνεσθαι καὶ οὐκ οἶά τε αὐτὸ παρατρέψαι , ἀλλʼ ἤδη δεῖ ἐμὲ ἐν κοίτῃ σῇ κατυπνῶσαι , φέρε , τούτων ἐξ ἐμεῦ ἐπιτελευμένων φανήτω καὶ ἐμοί .",δεδόκηται,γίνεσθαι,τοι
188,Plato (0059) - Gorgias (023),εὐνοίᾳ γὰρ ἐρῶ τῇ σῇ _ οὐκ αἰσχρὸν δοκεῖ σοι εἶναι οὕτως ἔχειν ὡς ἐγὼ σὲ οἶμαι ἔχειν καὶ τοὺς ἄλλους τοὺς πόρρω ἀεὶ φιλοσοφίας ἐλαύνοντας ;,δοκεῖ,ἔχειν,σοι
189,Xenophon (0032) - Ways and Means (011),"αὕτη γὰρ ἡ πρόσοδος καλλίστων ἔμοιγε δοκεῖ εἶναι , ἐπείπερ αὐτοὶ αὑτοὺς τρέφοντες καὶ πολλὰ ὠφελοῦντες τὰς πόλεις οὐ λαμβάνουσι μισθόν , ἀλλὰ μετοίκιον προσφέρουσιν _ ἐπιμέλειά γε μὴν ἥδʼ ἂν ἀρκεῖν μοι δοκεῖ , εἰ ἀφέλοιμεν μὲν ὅσα μηδὲν ὠφελοῦντα τὴν πόλιν ἀτιμίας δοκεῖ τοῖς μετοίκοις παρέχειν , ἀφέλοιμεν δὲ καὶ τὸ συστρατεύεσθαι ὁπλίτας μετοίκους τοῖς ἀστοῖς .",δοκεῖ;δοκεῖ;δοκεῖ,ἀρκεῖν;παρέχειν,μοι;μετοίκοις
190,Plato (0059) - Menexenus (028),"ἡμῖν δὲ ἐξὸν ζῆν μὴ καλῶς , καλῶς αἱρούμεθα μᾶλλον τελευτᾶν , πρὶν ὑμᾶς τε καὶ τοὺς ἔπειτα εἰς ὀνείδη καταστῆσαι καὶ πρὶν τοὺς ἡμετέρους πατέρας καὶ πᾶν τὸ πρόσθεν γένος αἰσχῦναι , ἡγούμενοι τῷ τοὺς αὑτοῦ αἰσχύναντι ἀβίωτον εἶναι , καὶ τῷ τοιούτῳ οὔτε τινὰ ἀνθρώπων οὔτε θεῶν φίλον εἶναι οὔτʼ ἐπὶ γῆς οὔθʼ ὑπὸ γῆς τελευτήσαντι .",ἐξὸν,ζῆν,ἡμῖν
191,Thucydides (0003) - History (001),"ἐπὶ τοῖσδε οὖν ξυνέβησαν ἐξελθεῖν παῖδας καὶ γυναῖκας καὶ τοὺς ἐπικούρους ξὺν ἑνὶ ἱματίῳ , γυναῖκας δὲ ξὺν δυοῖν , καὶ ἀργύριόν τι ῥητὸν ἔχοντας ἐφόδιον .",ξυνέβησαν,ἐξελθεῖν,ἱματίῳ
192,Xenophon (0032) - Anabasis (006),"ἡμᾶς δὲ δεῖ ταῦτα ὁρῶντας μήποτε ἐξαπατηθῆναι ἔτι ὑπὸ τούτων , ἀλλὰ μαχομένους ὡς ἂν δυνώμεθα κράτιστα τοῦτο ὅ τι ἂν δοκῇ τοῖς θεοῖς πάσχειν . ἐκ τούτου Ξενοφῶν ἀνίσταται ἐσταλμένος ἐπὶ πόλεμον ὡς ἐδύνατο κάλλιστα , νομίζων , εἴτε νίκην διδοῖεν οἱ θεοί , τὸν κάλλιστον κόσμον τῷ νικᾶν πρέπειν , εἴτε τελευτᾶν δέοι , ὀρθῶς ἔχειν τῶν καλλίστων ἑαυτὸν ἀξιώσαντα ἐν τούτοις τῆς τελευτῆς τυγχάνειν ·",δοκῇ;διδοῖεν;πρέπειν,πάσχειν;νικᾶν,θεοῖς;τῷ
193,Demosthenes (0014) - Against Olympiodorus (048),"ἃ μὲν οὖν , ὦ ἄνδρες δικασταί , οὗτος λέγει , ὑπόνοιαι πλασταί εἰσιν καὶ προφάσεις ἄδικοι καὶ πονηρίαι ἐπὶ τῷ ἀποστερῆσαι ἃ προσήκει αὐτὸν ἀποδοῦναι ἐμοί .",προσήκει,ἀποστερῆσαι;ἀποδοῦναι,τῷ;ἐμοί
194,Plato (0059) - Phaedo (004),"οὐ πείθω , ὦ ἄνδρες , ὡς ἐγώ εἰμι οὗτος ὁ νυνὶ διαλεγόμενος καὶ διατάττων ἕκαστον τῶν λεγομένων , ἀλλʼ οἴεταί με ἐκεῖνον εἶναι ὃν ὄψεται ὀλίγον ὕστερον νεκρόν , καὶ ἐρωτᾷ δὴ πῶς με θάπτῃ . ὅτι δὲ ἐγὼ πάλαι πολὺν λόγον πεποίημαι , ὡς , ἐπειδὰν πίω τὸ φάρμακον , οὐκέτι ὑμῖν παραμενῶ , ἀλλʼ οἰχήσομαι ἀπιὼν εἰς μακάρων δή τινας εὐδαιμονίας , ταῦτά μοι δοκῶ αὐτῷ ἄλλως λέγειν , παραμυθούμενος ἅμα μὲν ὑμᾶς , ἅμα δʼ ἐμαυτόν .",δοκῶ;παραμυθούμενος,λέγειν,αὐτῷ
195,Antiphon (0028) - On the Murder of Herodes (005),"ἔπειτα ἐν τῇ γῇ μὲν ἀποθανόντος , ἐντιθεμένου δὲ εἰς τὸ πλοῖον , οὔτε ἐν τῇ γῇ σημεῖον οὐδὲ αἷμα ἐφάνη οὔτε ἐν τῷ πλοίῳ , νύκτωρ μὲν ἀναιρεθέντος , νύκτωρ δʼ ἐντιθεμένου εἰς τὸ πλοῖον . ἢ δοκεῖ ἂν ὑμῖν ἄνθρωπος δύνασθαι ἐν τοιούτῳ πράγματι ὢν τά τʼ ἐν τῇ γῇ ὄντα ἀναξύσαι καὶ τὰ ἐν τῷ πλοίῳ ἀποσπογγίσαι , ἃ οὐδὲ μεθʼ ἡμέραν λτἄνγτ τις οἷός τʼ ἐγένετο , ἔνδον ὢν αὑτοῦ καὶ μὴ πεφοβημένος , τὸ παράπαν ἀφανίσαι ;",δοκεῖ,δύνασθαι;ἀναξύσαι,ὑμῖν;πράγματι;γῇ
196,Plato (0059) - Meno (024),"Γοργίᾳ οὐκ ἐνέτυχες ὅτε ἐνθάδε ἦν ; ἔγωγε . εἶτα οὐκ ἐδόκει σοι εἰδέναι ; οὐ πάνυ εἰμὶ μνήμων , ὦ Μένων , ὥστε οὐκ ἔχω εἰπεῖν ἐν τῷ παρόντι πῶς μοι τότε ἔδοξεν . ἀλλʼ ἴσως ἐκεῖνός τε οἶδε , καὶ σὺ ἃ ἐκεῖνος ἔλεγε ·",ἐδόκει;ἔδοξεν,εἰδέναι,σοι
197,Dinarchus (0029) - Against Demosthenes (004),"ἔλιπες αὐτὸς τὴν τάξιν . ἐγὼ πολλὰς ὑπὲρ ὑμῶν ἐπρέσβευσα πρεσβείας . ἐφʼ αἷς οὐκ οἶδʼ ὅ τι ποτʼ ἂν ἐποίησεν ἢ τίνας ἂν εἶπε λόγους , εἰ συνέβη κατορθῶσαι αὐτῷ ἃ συνεβούλευσεν , ὃς ἐπὶ τοῖς τοιούτοις ἀτυχήμασι καὶ κακοῖς ἅπασαν ἐπεληλυθὼς τὴν οἰκουμένην ὅμως ἀξιοῖ δωρεὰς αὑτῷ δεδόσθαι τὰς μεγίστας , λαμβάνειν δῶρα κατὰ τῆς πατρίδος καὶ λέγειν καὶ πράττειν κατὰ τοῦ δήμου ἃ ἂν βούληται .",συνέβη;συνεβούλευσεν;δεδόσθαι,κατορθῶσαι;λαμβάνειν,αὐτῷ
198,Xenophon (0032) - Economics (003),σὺ δʼ ἔοικας τὰ ἑκάστῳ ὠφέλιμα κτήματα καλεῖν .,ἔοικας,καλεῖν,ἑκάστῳ
199,Demosthenes (0014) - Against Leptines (020),"μετρίων δὲ καὶ ὧν ἂν ἐν εἰρήνῃ τις καὶ πολιτείᾳ δύναιτʼ ἐφικέσθαι , εὐνοίας , δικαιοσύνης , ἐπιμελείας , τῶν τοιούτων , καὶ συμφέρειν ἔμοιγε δοκεῖ καὶ χρῆναι διδόναι τὰς τιμάς . δεῖ τοίνυν μεμερίσθαι καὶ τὰ τῶν δωρειῶν , ἵνʼ ἧς ἂν ἄξιος ὢν ἕκαστος φαίνηται , ταύτην παρὰ τοῦ δήμου λαμβάνῃ τὴν δωρειάν .",συμφέρειν;δοκεῖ;διδόναι,συμφέρειν;χρῆναι,ἔμοιγε
200,Herodotus (0016) - Histories (001),"οἳ μὲν δὴ λέγουσι τοὺς ἀποπεμφθέντας Σαμίων ὑπὸ Πολυκράτεος οὐκ ἀπικέσθαι ἐς Αἴγυπτον , ἀλλʼ ἐπείτε ἐγένοντο ἐν Καρπάθῳ πλέοντες , δοῦναι σφίσι λόγον , καί σφι ἁδεῖν τὸ προσωτέρω μηκέτι πλέειν ·",δοῦναι,ἁδεῖν,σφι
201,Demosthenes (0014) - Against Aristocrates (023),"οὐ μόνον δʼ αὕτη τῆς πόλεως ἡ δωρειὰ προπεπηλάκισται καὶ φαύλη γέγονεν , ἀλλὰ καὶ πᾶσαι διὰ τὴν τῶν καταράτων καὶ θεοῖς ἐχθρῶν ῥητόρων , τῶν τὰ τοιαῦτα γραφόντων ἑτοίμως , πονηρίαν , οἳ τοσαύτην ὑπερβολὴν πεποίηνται τῆς αὑτῶν αἰσχροκερδείας ὥστε τὰς τιμὰς καὶ τὰς παρʼ ὑμῶν δωρειάς , ὥσπερ οἱ τὰ μικρὰ καὶ κομιδῇ φαῦλʼ ἀποκηρύττοντες , οὕτω πωλοῦσιν ἐπευωνίζοντες καὶ πολλοῖς ἀπὸ τῶν αὐτῶν λημμάτων γράφοντες πᾶν ὅ τι ἂν βούλωνται . πρῶτον μέν , ἵνα τῶν τελευταίων πρώτων μνησθῶμεν , *̓αριοβαρζάνην ἐκεῖνον οὐ μόνον αὐτὸν καὶ τοὺς υἱεῖς τρεῖς ὄντας πάντων ἠξίωσαν ὅσων ἐβουλήθησαν , ἀλλὰ καὶ δύʼ *̓ αβυδηνούς , μισαθηναιοτάτους καὶ πονηροτάτους ἀνθρώπους , Φιλίσκον καὶ *̓αγαυόν . πάλιν Τιμοθέου δόξαντός τι ποιῆσαι τῶν δεόντων ὑμῖν , πρὸς τῷ πάνθʼ ἃ μέγιστʼ ἦν αὐτῷ δοῦναι προσέθηκαν αὐτῷ Φρασιηρίδην καὶ Πολυσθένην , ἀνθρώπους οὐδʼ ἐλευθέρους , ἀλλʼ ὀλέθρους καὶ τοιαῦτα πεποιηκότας οἷα λέγειν ὀκνήσειεν ἄν τις εὖ φρονῶν .",δόξαντός;δοῦναι,ποιῆσαι,ὑμῖν
202,Xenophon (0032) - Economics (003),"ὅτι μέν , ὦ Σώκρατες , κάλλιστόν τε καὶ ἄριστον καὶ ἥδιστον ἀπὸ γεωργίας τὸν βίον ποιεῖσθαι πάνυ μοι δοκῶ πεπεῖσθαι ἱκανῶς ·",δοκῶ,ποιεῖσθαι;πεπεῖσθαι,μοι
203,Isocrates (0010) - On the Peace (017),"ἄξιον οὖν ὀρέγεσθαι τῆς τοιαύτης ἡγεμονίας . ἔνεστι δὲ τοῖς πράγμασιν ἡμῶν τυχεῖν παρὰ τῶν *̔ελλήνων τῆς τιμῆς ταύτης , ἥνπερ ἐκεῖνοι παρὰ τῶν πολιτῶν ἔχουσιν , ἢν ὑπολάβωσι τὴν δύναμιν τὴν ἡμετέραν μὴ δουλείας ἀλλὰ σωτηρίας αἰτίαν αὑτοῖς ἔσεσθαι . πολλῶν δὲ καὶ καλῶν λόγων ἐνόντων περὶ τὴν ὑπόθεσιν ταύτην , ἐμοὶ μὲν ἀμφότερα συμβουλεύει παύσασθαι λέγοντι , καὶ τὸ μῆκος τοῦ λόγου καὶ τὸ πλῆθος τῶν ἐτῶν τῶν ἐμῶν ·",ἔνεστι;συμβουλεύει,ὀρέγεσθαι;τυχεῖν;παύσασθαι,πράγμασιν;λέγοντι
204,Lycurgus (0034) - Against Leocrates (001),"καί μοι λαβὲ πρῶτον μὲν τὸ ψήφισμα , καθʼ ὃ ἡ εἰκὼν τοῦ *̔ιππάρχου τοῦ προδότου ἐξ ἀκροπόλεως καθῃρέθη , ἔπειτα τῆς στήλης τὸ ὑπόγραμμα καὶ τοὺς ὕστερον προσαναγραφέντας προδότας εἰς ταύτην τὴν στήλην , καὶ ἀναγίγνωσκε , γραμματεῦ . τί δοκοῦσιν ὑμῖν , ὦ ἄνδρες ; ἆρά γʼ ὁμοίως ὑμῖν περὶ τῶν ἀδικούντων γιγνώσκειν , καὶ οὐκ , ἐπειδὴ καὶ τὸ σῶμα οὐκ ἐδύναντο ὑποχείριον λαβεῖν , τὸ μνημεῖον τοῦ προδότου ἀνελόντες ταῖς ἐνδεχομέναις τιμωρίαις ἐκόλασαν ; οὐχ ὅπως τὸν χαλκοῦν ἀνδριάντα συγχωνεύσειαν , ἀλλʼ ἵνα τοῖς ἐπιγιγνομένοις παράδειγμα εἰς τὸν λοιπὸν χρόνον ὡς εἶχον πρὸς τοὺς προδότας καταλίποιεν . λαβὲ δʼ αὐτοῖς καὶ τὸ ἕτερον ψήφισμα τὸ περὶ τῶν εἰς Δεκέλειαν μεταστάντων , ὅτε ὁ δῆμος ὑπὸ Λακεδαιμονίων ἐπολιορκεῖτο , ὅπως εἰδῶσιν ὅτι περὶ τῶν προδοτῶν οἱ πρόγονοι ὁμοίας καὶ ἀκολούθους ἀλλήλαις τὰς τιμωρίας ἐποιοῦντο .",δοκοῦσιν,γιγνώσκειν,ὑμῖν
205,Xenophon (0032) - Anabasis (006),"καὶ γὰρ οὖν νῦν ὑμῖν ἔξεστιν ἀνεπιλήπτως πορεύεσθαι ὅπῃ ἂν ἕλησθε καὶ κατὰ γῆν καὶ κατὰ θάλατταν . ὑμεῖς δέ , ὅτε πολλὴ ὑμῖν εὐπορία φαίνεται , καὶ πλεῖτε ἔνθα δὴ ἐπεθυμεῖτε πάλαι , δέονταί τε ὑμῶν οἱ μέγιστον δυνάμενοι , μισθὸς δὲ φαίνεται , ἡγεμόνες δὲ ἥκουσι Λακεδαιμόνιοι οἱ κράτιστοι νομιζόμενοι εἶναι , νῦν δὴ καιρὸς ὑμῖν δοκεῖ εἶναι ὡς τάχιστα ἐμὲ κατακαίνειν ;",ἔξεστιν;δοκεῖ,πορεύεσθαι;κατακαίνειν,ὑμῖν
206,Thucydides (0003) - History (001),"ὁ δέ , εἴπερ καὶ ἐκείνοις δοκεῖ καθαιρεῖν , καὶ ἑαυτῷ ἔφη ξυνδοκεῖν . καὶ ἐντεῦθεν εὐθὺς ἀναβάντες οἵ τε ὁπλῖται καὶ πολλοὶ τῶν ἐκ τοῦ Πειραιῶς ἀνθρώπων κατέσκαπτον τὸ τείχισμα .",δοκεῖ,καθαιρεῖν,ἐκείνοις
207,Demosthenes (0014) - The Funeral Speech 51-61 (060),"ἐξ ἀνάγκης δὲ συμβαίνει , ὅταν μάχη γίγνηται , τοῖς μὲν ἡττᾶσθαι , τοῖς δὲ νικᾶν · οὐκ ἂν ὀκνήσαιμι δʼ εἰπεῖν ὅτι μοι δοκοῦσιν οἱ τελευτῶντες ἑκατέρων ἐν τάξει τῆς μὲν ἥττης οὐ μετέχειν , νικᾶν δʼ ὁμοίως ἀμφότεροι .",συμβαίνει;δοκοῦσιν,ἡττᾶσθαι;μετέχειν,τοῖς;τάξει
208,Euripides (0006) - Electra (042),*̔ελένης δʼ ἐξειργασμένης ἐξῆν κλέος σοι μέγα λαβεῖν ·,ἐξῆν,λαβεῖν,σοι
209,Isocrates (0010) - Plataicus (012),"εἰ δʼ οὖν μηδὲν ὑμῖν σωμάτων ἡμετέρων δέδοκται φροντίζειν , ἀλλὰ τήν γε χώραν οὐ πρὸς ὑμῶν ἐστὶν ἀνέχεσθαι πεπορθημένην , ἐν ᾗ μέγιστα σημεῖα τῆς ἀρετῆς τῆς ὑμετέρας καὶ τῶν ἄλλων τῶν συναγωνισαμένων καταλείπεται ·",δέδοκται;πεπορθημένην,φροντίζειν,ὑμῖν
210,Thucydides (0003) - History (001),πρότερον δὲ πυρὶ ἔδοξεν αὐτοῖς πειρᾶσαι εἰ δύναιντο πνεύματος γενομένου ἐπιφλέξαι τὴν πόλιν οὖσαν οὐ μεγάλην ·,ἔδοξεν,πειρᾶσαι,πυρὶ;αὐτοῖς
211,Xenophon (0032) - Symposium (004),"πρὸς δὲ τούτοις πιστεύοι μήτʼ ἂν μήτʼ ἂν καμὼν ἀμορφότερος γένηται , μειωθῆναι ἂν τὴν φιλίαν ; οἷς γε μὴν κοινὸν τὸ φιλεῖσθαι , πῶς οὐκ ἀνάγκη τούτους ἡδέως μὲν προσορᾶν ἀλλήλους , εὐνοϊκῶς δὲ διαλέγεσθαι , πιστεύειν δὲ καὶ πιστεύεσθαι , καὶ προνοεῖν μὲν ἀλλήλων , συνήδεσθαι δʼ ἐπὶ ταῖς καλαῖς πράξεσι , συνάχθεσθαι δὲ ἄν τι σφάλμα προσπίπτῃ , τότε δʼ εὐφραινομένους διατελεῖν , ὅταν ὑγιαίνοντες συνῶσιν , ἂν δὲ κάμῃ ὁπότερος οὖν , πολὺ συνεχεστέραν τὴν συνουσίαν ἔχειν , καὶ ἀπόντων ἔτι μᾶλλον ἢ παρόντων ἐπιμελεῖσθαι ;",πιστεύοι;πιστεύειν,μειωθῆναι;πιστεύεσθαι;προνοεῖν;συνήδεσθαι,πράξεσι
212,Demosthenes (0014) - Against Conon (054),"σκοπεῖτε δὴ πότερός ἐστιν ἐλεινότερος , ὁ πεπονθὼς οἷʼ ἐγὼ πέπονθʼ ὑπὸ τούτου , εἰ προσυβρισθεὶς ἄπειμι καὶ δίκης μὴ τυχών , ἢ Κόνων , εἰ δώσει δίκην ; πότερον δʼ ὑμῶν ἑκάστῳ συμφέρει ἐξεῖναι τύπτειν καὶ ὑβρίζειν ἢ μή ;",δώσει;συμφέρει,ἐξεῖναι;τύπτειν,ἑκάστῳ
213,Xenophon (0032) - Economics (003),"ἀλλὰ ταῦτα , ἔφη , ὦ Σώκρατες , καλῶς μοι δοκεῖς λέγειν κελεύων πειρᾶσθαι σὺν τοῖς θεοῖς ἄρχεσθαι παντὸς ἔργου , ὡς τῶν θεῶν κυρίων ὄντων οὐδὲν ἧττον τῶν εἰρηνικῶν ἢ τῶν πολεμικῶν ἔργων .",δοκεῖς,λέγειν,μοι
214,Aeschines (0026) - Against Timarchus (001),"ἀναβήσεται γὰρ οἶμαι δεῦρο πιστεύων τῷ ἑαυτοῦ βίῳ ἀνὴρ καλὸς κἀγαθὸς καὶ μισοπόνηρος , καὶ τὸν Λεωδάμαντα ὅστις ἦν οὐ γιγνώσκων , ἐφʼ ᾧ ὑμεῖς ἐθορυβήσατε τῆς μαρτυρίας ἀναγιγνωσκομένης . ἆρά γε ἐξαχθήσομαί τι σαφέστερον εἰπεῖν ἢ κατὰ τὴν ἐμαυτοῦ φύσιν ; εἴπατέ μοι πρὸς τοῦ Διὸς καὶ τῶν ἄλλων θεῶν , ὦ ἄνδρες *̓αθηναῖοι , ὅστις αὑτὸν κατῄσχυνε πρὸς *̔ηγήσανδρον , οὐ δοκεῖ ὑμῖν πρὸς τὸν πόρνον πεπορνεῦσθαι ; ἢ τίνας αὐτοὺς οὐκ οἰόμεθʼ ὑπερβολὰς ποιεῖσθαι βδελυρίας παροινοῦντας καὶ μονουμένους ; οὐκ οἴεσθε τὸν *̔ηγήσανδρον ἀπολυόμενον τὰς πρὸς τὸν Λεωδάμαντα πράξεις τὰς περιβοήτους , ἃς ὑμεῖς ἅπαντες σύνιστε , ὑπερήφανα ἐπιτάγματα ἐπιτάττειν , ὡς ταῖς τούτου ὑπερβολαῖς αὐτὸν δόξοντα μέτρια διαπεπρᾶχθαι ;",πιστεύων;δοκεῖ;ἐπιτάττειν,πεπορνεῦσθαι;διαπεπρᾶχθαι,ὑμῖν
215,Xenophon (0032) - Anabasis (006),καὶ ἐδόκει αὐτοῖς ἀναπτύσσειν κέρας καὶ ποιήσασθαι ὄπισθεν τὸν ποταμόν .,ἐδόκει,ἀναπτύσσειν,αὐτοῖς
216,Xenophon (0032) - Memorabilia (002),"πρὸς δὲ τούτοις οὐ δοκεῖ σοι τάδε προνοίας ἔργοις ἐοικέναι , τὸ ἐπεὶ ἀσθενὴς μέν ἐστιν ἡ ὄψις , βλεφάροις αὐτὴν θυρῶσαι , ἅ , ὅταν μὲν αὐτῇ χρῆσθαί τι δέῃ , ἀναπετάννυται , ἐν δὲ τῷ ὕπνῳ συγκλείεται , ὡς δʼ ἂν μηδὲ ἄνεμοι βλάπτωσιν , ἡθμὸν βλεφαρίδας ἐμφῦσαι , ὀφρύσι τε ἀπογεισῶσαι τὰ ὑπὲρ τῶν ὀμμάτων , ὡς μηδʼ ὁ ἐκ τῆς κεφαλῆς ἱδρὼς κακουργῇ ·",δοκεῖ;ἐοικέναι,ἐοικέναι;θυρῶσαι,ἔργοις;βλεφάροις
217,Aristophanes (0019) - Clouds (003),"ἐξ ὅτου γὰρ ἐνθάδʼ ὑπʼ ἀνδρῶν , οἷς ἡδὺ καὶ λέγειν , ὁ σώφρων τε χὠ καταπύγων ἄριστʼ ἠκουσάτην , κἀγώ , παρθένος γὰρ ἔτʼ ἦν , κοὐκ ἐξῆν πώ μοι τεκεῖν , ἐξέθηκα , παῖς δʼ ἑτέρα τις λαβοῦσʼ ἀνείλετο , ὑμεῖς δʼ ἐξεθρέψατε γενναίως κἀπαιδεύσατε ·",ἐξῆν,τεκεῖν,μοι
218,Euripides (0006) - Trojan Women (044),"ἔξεστιν οὖν πρὸς ταῦτʼ ἀμείψασθαι λόγῳ , ὡς οὐ δικαίως , ἢν θάνω , θανούμεθα ; οὐκ ἐς λόγους ἐλήλυθʼ , ἀλλά σε κτενῶν . ἄκουσον αὐτῆς , μὴ θάνῃ τοῦδʼ ἐνδεής , Μενέλαε , καὶ δὸς τοὺς ἐναντίους λόγους ἡμῖν κατʼ αὐτῆς ·",ἔξεστιν;δὸς,ἀμείψασθαι,λόγῳ
219,Plato (0059) - Phaedrus (012),"τὸ δὲ ῥητορικὸν δοκεῖ μοι διαφεύγειν ἔθʼ ἡμᾶς . πῶς φῄς ; καλόν πού τι ἂν εἴη , ὃ τούτων ἀπολειφθὲν ὅμως τέχνῃ λαμβάνεται ; πάντως δʼ οὐκ ἀτιμαστέον αὐτὸ σοί τε καὶ ἐμοί , λεκτέον δὲ τί μέντοι καὶ ἔστι τὸ λειπόμενον τῆς ῥητορικῆς . καὶ μάλα που συχνά , ὦ Σώκρατες , τά γʼ ἐν τοῖς βιβλίοις τοῖς περὶ λόγων τέχνης γεγραμμένοις . καλῶς γε ὑπέμνησας . μὲν οἶμαι πρῶτον ὡς δεῖ τοῦ λόγου λέγεσθαι ἐν ἀρχῇ ·",δοκεῖ,διαφεύγειν,μοι
220,Plato (0059) - Alcibiades 2 (014),καὶ ὀρθῶς γέ μοι δοκεῖ ὁμολογηθῆναι .,δοκεῖ,ὁμολογηθῆναι,μοι
